Datetime,ID,Text
2020-10-05 17:05:41,1313163462999248911,"Karabakh is Azerbaijan!
#StopArmenianOccupation 
#StopArmenianAggresion 
#StopArmenianTerrorism… https://t.co/ZCQxOgsPYR"
2020-10-05 17:05:41,1313163462500118533,"Today in LA Armenians are talking bout ""peace"", when they were the ones who occupied Azerbaijan's territories, not… https://t.co/Is5LayVgVy"
2020-10-05 17:05:41,1313163460876922884,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:40,1313163458926596098,"#Armenian army has just shelled residential areas of #Gandja, second largest city of #Azerbaijan from the territory… https://t.co/mnXTgFHsQE"
2020-10-05 17:05:40,1313163456900673537,Proof of Armenia's deliberate and targeted attack against critical civilian infrastructure of Azerbaijan. #Missile… https://t.co/Ezuvm4aTlt
2020-10-05 17:05:39,1313163453041840128,"RT @ShStepanyan: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting the…"
2020-10-05 17:05:39,1313163451964035073,RT @AzeriSwedish: @amnesty #Armenia have installed its millitary base in civin zones of #Karabakh &amp;continue to send missile attacks on diff…
2020-10-05 17:05:38,1313163449216663552,@Ali_F_Alizada Great Azerbaijan 🇦🇿 Army
2020-10-05 17:05:38,1313163448897994752,"RT @RFERL: Cities on both sides of the conflict between Armenia and Azerbaijan have been hit by sustained rocket and artillery fire, markin…"
2020-10-05 17:05:37,1313163447111213060,RT @ayselusa5: #Armenia #Azerbaijan Pashinyan harassed everyone 😂😂😂😂 https://t.co/ofVh36oyY8
2020-10-05 17:05:37,1313163446314299393,"RT @ArtsakhOmbuds: Former Human Rights Ombudsman of Artsakh Republic @RubenMelikyan joins the  ""Don't be blind!"" campaign and calls upon th…"
2020-10-05 17:05:37,1313163445353807873,"RT @TheHorsePundit: THREAD, in case you're wondering how screwed up Azerbaijan is: This is Ramil Safarov, an Azeri officer who murdered Arm…"
2020-10-05 17:05:37,1313163444808552450,"RT @ZMnatsakanyan: In telephone discussion with Sergei #Lavrov, Jean-Yves #LeDrian and Stephen #Biegun stressed the dangerous consequences…"
2020-10-05 17:05:37,1313163444716285953,"RT @ArmenianUnified: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting…"
2020-10-05 17:05:35,1313163439271886848,"#Armenia must leave occupied territories of #Azerbaijan
#JusticeForAzerbaijan
#StopArmenianAggression… https://t.co/jfTpCl980s"
2020-10-05 17:05:35,1313163437267210245,"RT @vre2h: The only right thing that the #Azerbaijan|i army can do right now is to turn around and attack its true enemy, the terrorist gro…"
2020-10-05 17:05:35,1313163435975213056,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:35,1313163435853709312,"The Armenian army is targeting the civilian population of Azerbaijan. At present, Armenian armed forces are shellin… https://t.co/cTvZEgkoxc"
2020-10-05 17:05:32,1313163425908957185,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:32,1313163425141460993,"RT @ShStepanyan: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting the…"
2020-10-05 17:05:32,1313163423534985217,RT @ArmeniaMODTeam: The Minister of Defence #Davit_Tonoyan received the @usembarmenia Ambassador Extraordinary and Plenipotentiary to #Arme…
2020-10-05 17:05:31,1313163420217364480,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:30,1313163414798323712,"10 months old baby who was injured as the result of #Armenia’s rocket shots to 2nd biggest city of Azerbaijan,… https://t.co/dxnOS9x9HU"
2020-10-05 17:05:29,1313163414194327552,"RT @EsterDemirtshy1: Destruction of lives and cities, everything that the peaceful #Artsakh population has built and created is destroyed b…"
2020-10-05 17:05:28,1313163409853218823,"RT @Artak_Beglaryan: Look what distructions #Azerbaijan did only today in capital #Stepanakert of #Artsakh/#Karabakh w/ heavy missiles.
Sch…"
2020-10-05 17:05:28,1313163408288743425,"Barbarism and Vandalism!
Armenia is retaliating attacking and bombing civil infrastructures the cities that are awa… https://t.co/9eSIKAvWEO"
2020-10-05 17:05:27,1313163405168201738,"RT @khalilvam: Yesterday's strikes from 🇦🇲's territory targeting Azerbaijan's civilian infrastructure,including Hydro Power Station which m…"
2020-10-05 17:05:25,1313163397391880193,"RT @Ghoulyan: Secondary school in #Stepanakert after #Azerbaijan’s shilling. The target was the school, not a military point, or smth else,…"
2020-10-05 17:05:25,1313163393780649985,"RT @ArtsakhOmbuds: Former Human Rights Ombudsman of Artsakh Republic @RubenMelikyan joins the  ""Don't be blind!"" campaign and calls upon th…"
